Name,Location,Mode of Delivery,Global Ranking,Institution Type
HEC Paris,Multiple locations,Online / On campus,Not ranked,Private
Westcliff University,"Irvine, United States",Online / On campus / Blended,Not ranked,Unknown
University of Western States,"Portland, United States",Online / Blended,Not ranked,Private
Saybrook University,"Pasadena, United States",Online / On campus / Blended,Not ranked,Private
Kansas State University,Multiple locations,Online / On campus / Blended,572,Public
University of Nebraska Omaha,"Omaha, United States",Online / On campus / Blended,Not ranked,Public
International Career Institute (ICI) - USA,"Los Angeles, United States",Online,Not ranked,Private
Minerva University,"San Francisco, United States",Online / On campus,Not ranked,Private
Indiana Wesleyan University,Multiple locations,Online / On campus / Blended,Not ranked,Private
Southern New Hampshire University,"Manchester, United States",Online / On campus,Not ranked,Private
Massachusetts Institute of Technology (MIT),Multiple locations,Online / On campus / Blended,2,Private
Augustana University,"Sioux Falls, United States",Online / On campus,Not ranked,Private
edX - online learning platform,"Cambridge, United States","Chicago, United States",Not ranked,Unknown
Concordia University of Chicago,"Chicago, United States",Online / On campus / Blended,Not ranked,Public
University of New Haven,"West Haven, United States",Online / On campus / Blended,Not ranked,Public
Binghamton University,"Johnson City, United States",Online / On campus,756,Public
Colorado School of Mines,"Golden, United States",Online / On campus,474,Public
Widener University,Multiple locations,Online / On campus / Blended,Not ranked,Private
Kennesaw State University,Multiple locations,Online / On campus / Blended,2127,Public
Long Island University (LIU),"New York City, United States",Online / On campus / Blended,Not ranked,Private
Hult International Business School,Multiple locations,Blended,Not ranked,Private
EHL Hospitality Business School,Multiple locations,Online / On campus / Blended,Not ranked,Private
Illinois Institute of Technology,"Chicago, United States",Online / On campus / Blended,548,Private
University of Tennessee Knoxville,Multiple locations,Online / On campus,316,Public
Texas A&M International University,"Laredo, United States",Online / On campus,Not ranked,Public
Carroll University,"Waukesha, United States",Online / On campus / Blended,Not ranked,Private
Butler University,"Indianapolis, United States",Online / On campus,Not ranked,Private
University of the People,"Pasadena, United States",Online,Not ranked,Private
St. Lawrence University,"Canton, United States",On campus,Not ranked,Private
Savannah College of Art and Design,Multiple locations,Online / On campus,Not ranked,Private
Coursera,"Mountain View, United States",N/A,Not ranked,Unknown
Washington University of Science and Technology,"Tysons Corner, United States",Online / On campus,Not ranked,Private
Harrisburg University of Science and Technology,"Harrisburg, United States",Online / On campus / Blended,Not ranked,Private
Heidelberg University,"Tiffin, United States",Online / On campus / Blended,Not ranked,Private
University of Mount Union,"Alliance, United States",Online / On campus,Not ranked,Private
Church Divinity School of the Pacific,"Berkeley, United States",Blended,Not ranked,Unknown
New York College of Traditional Chinese Medicine,"Mineola, United States",On campus,Not ranked,Unknown
Metropolitan College of New York,"New York City, United States",Online / On campus / Blended,Not ranked,Private
Texas A&M University Central Texas,"Killeen, United States","Midland, United States",Not ranked,Unknown
Northwood University,"Midland, United States","Riverside, United States",Not ranked,Unknown
La Sierra University,"Riverside, United States",On campus,Not ranked,Private
Evergreen State College,"Olympia, United States",On campus,Not ranked,Public
Marywood University,"Scranton, United States",Online / On campus,Not ranked,Private
Alvernia University,"Reading, United States",On campus,Not ranked,Private
University of Saint Francis,"Fort Wayne, United States",Online / On campus,Not ranked,Private
Park University,"Parkville, United States",Online / On campus / Blended,Not ranked,Unknown
Saint John Fisher College,"East Rochester, United States",Online / On campus / Blended,Not ranked,Private
University of Missouri–St. Louis,"Saint Louis, United States",Online / On campus,1124,Public
University of Jamestown,"Jamestown, United States",Online / On campus,Not ranked,Private
Eastern Oregon University,"La Grande, United States",Online / On campus / Blended,Not ranked,Public
Western Illinois University,Multiple locations,Online / On campus / Blended,Not ranked,Public
Northeastern University,Multiple locations,Online / On campus / Blended,223,Unknown
Solvay Brussels School of Economics and Management,Multiple locations,"Brookings, United States",Not ranked,Public
South Dakota State University,"Brookings, United States",Online / On campus / Blended,1678,Public
London School of Business and Finance - Online,Multiple locations,Online,Not ranked,Private
University of Michigan - Dearborn,"Dearborn, United States",Online / On campus / Blended,Not ranked,Public
Columbia College Chicago,"Chicago, United States",On campus / Blended,Not ranked,Private
Marist College,Multiple locations,Online / On campus / Blended,Not ranked,Private
Burgundy School of Business,Multiple locations,On campus,Not ranked,Private
The University of Texas at Arlington,"Arlington, United States",Online / On campus,693,Public
California Lutheran University,"Thousand Oaks, United States",Online / On campus / Blended,Not ranked,Private
The Chicago School,Multiple locations,Online / On campus,Not ranked,Unknown
University of Idaho,Multiple locations,Online / On campus / Blended,1075,Public
George Mason University,Multiple locations,Online / On campus / Blended,432,Public
Schiller International University,Multiple locations,Online / On campus,Not ranked,Private
IPAG Business School,Multiple locations,Online / On campus,Not ranked,Private
Embry-Riddle Aeronautical University,Multiple locations,Online / On campus,Not ranked,Private
Augustana College,"Rock Island, United States",On campus,Not ranked,Private
Liberty University,Multiple locations,Online / On campus,Not ranked,Private
Zaragoza Logistics Center (ZLC),Multiple locations,Multiple locations,Not ranked,Private
"Anglo-American University (AAU), Prague",Multiple locations,On campus,Not ranked,Private
University of Pennsylvania,"Philadelphia, United States",Online / On campus / Blended,13,Private
University of Bridgeport,Multiple locations,Online / On campus / Blended,Not ranked,Private
Ferris State University,"Big Rapids, United States",Online / On campus,Not ranked,Public
Champlain College,"Burlington, United States",Online / On campus,Not ranked,Private
The University of Alabama at Birmingham,Multiple locations,Online / On campus / Blended,638,Public
Washington State University,Multiple locations,Online / On campus,331,Public
University of Massachusetts Lowell,Multiple locations,Online / On campus / Blended,896,Public
ISDE Law Business School,Multiple locations,Online / On campus,Not ranked,Private
Tulane University,"New Orleans, United States",Online / On campus,412,Public
Suffolk University,Multiple locations,On campus,Not ranked,Private
University of Maryland Baltimore County (UMBC),"Catonsville, United States",Online / On campus / Blended,618,Unknown
Benedictine University,Multiple locations,Online / On campus / Blended,Not ranked,Public
Florida International University,Multiple locations,Online / On campus / Blended,456,Public
San Diego State University,"La Mesa, United States",Online / On campus / Blended,595,Public
University of Missouri - Columbia,"Columbia, United States",Online / On campus,390,Public
University of Connecticut,Multiple locations,Online / On campus / Blended,320,Public
University of Georgia,Multiple locations,Online / On campus / Blended,399,Public
EDHEC Business School,Multiple locations,Online / On campus,Not ranked,Private
Union College Lincoln NE,"Lincoln, United States",On campus,Not ranked,Private
Trinity International University,"Lincolnshire, United States",Online / On campus / Blended,Not ranked,Private
Saint Leo University,"Dade City, United States",Online / On campus,Not ranked,Private
Princeton Theological Seminary,"Princeton, United States",On campus / Blended,Not ranked,Private
Salisbury University,"Salisbury, United States",Online / On campus / Blended,Not ranked,Public
Albany College of Pharmacy and Health Sciences,"Albany, United States",Online / On campus / Blended,Not ranked,Private
Westminster Theological Seminary,"Glenside, United States",Online / On campus,Not ranked,Private
Northeastern State University,"Tahlequah, United States",Online / On campus,Not ranked,Public
University of Hartford,"Hartford, United States",Online / On campus,1731,Private
College for Creative Studies,"Detroit, United States",Online / On campus,Not ranked,Private
New Brunswick Theological Seminary,"New Brunswick, United States",Online / On campus / Blended,Not ranked,Private
Lewis and Clark College,"Milwaukie, United States",Online / On campus / Blended,Not ranked,Private
Westfield State University,"Westfield, United States",Online / On campus / Blended,Not ranked,Public
Wentworth Institute of Technology,"Brookline, United States",Online / On campus / Blended,Not ranked,Private
Stockton University,"Galloway, United States",On campus,Not ranked,Public
Sonoma State University,"Rohnert Park, United States",Online / On campus / Blended,Not ranked,Public
The Master's University,"Santa Clarita, United States",Online / On campus,Not ranked,Private
West Chester University,"West Chester, United States",Online / On campus / Blended,Not ranked,Public
New England Law | Boston,"Boston, United States",On campus,Not ranked,Private
Rogers State University,"Claremore, United States",Online / On campus / Blended,Not ranked,Public
Rollins College,"Winter Park, United States",On campus,Not ranked,Private
Edinboro University,"Edinboro, United States",Online / On campus / Blended,Not ranked,Public
Winston-Salem State University,"Winston-Salem, United States",Online / On campus / Blended,Not ranked,Public
University of Alaska Anchorage,"Anchorage, United States",Online / On campus / Blended,Not ranked,Public
California State University Channel Islands,"Camarillo, United States",Online / On campus,Not ranked,Public
University of Saint Thomas Saint Paul,"Saint Paul, United States",Online / On campus / Blended,Not ranked,Private
Tarleton State University,"Stephenville, United States",Online / On campus / Blended,Not ranked,Public
San José State University,"San Jose, United States",Online / On campus / Blended,1935,Public
University of Kansas Medical Center,"Kansas City, United States",Online / On campus / Blended,Not ranked,Public
Indiana University Southeast,"New Albany, United States",Online / On campus / Blended,1146,Public
Wesleyan University,"Middletown, United States",On campus,1595,Private
Hardin-Simmons University,"Abilene, United States","Eau Claire, United States",Not ranked,Unknown
University of Wisconsin-Eau Claire,"Eau Claire, United States",Online / On campus / Blended,Not ranked,Public
University of Chicago,Multiple locations,Online / On campus,12,Public
Carnegie Mellon University,"Pittsburgh, United States",Online / On campus / Blended,64,Private
Brown University,"Providence, United States",Online / On campus / Blended,74,Private
Colorado State University Global,"Greenwood Village, United States",Online,Not ranked,Public
The University of Iowa,"Iowa City, United States",Online / On campus,266,Public
Southern Methodist University,"Dallas, United States",On campus,1035,Private
Loyola University New Orleans,Multiple locations,Online / On campus,Not ranked,Private
American University Washington DC,Multiple locations,Online / On campus,654,Public
New Mexico State University,"Las Cruces, United States",Online / On campus / Blended,1060,Public
Lee University,"Cleveland, United States",Online / On campus / Blended,Not ranked,Private
Keuka College,"Penn Yan, United States",Online / On campus / Blended,Not ranked,Private
Shippensburg University of Pennsylvania,"Shippensburg, United States",Online / On campus / Blended,Not ranked,Public
Plymouth State University,"Plymouth, United States",On campus,Not ranked,Public
Saint Joseph's University,Multiple locations,Online / On campus / Blended,Not ranked,Private
Texas A&M University at Galveston,"Galveston, United States",Online / On campus,Not ranked,Public
Chicago Theological Seminary,"Chicago, United States",Online / On campus / Blended,Not ranked,Private
University of West Georgia,"Carrollton, United States",Online / On campus / Blended,Not ranked,Public
Missouri Valley College,"Marshall, United States",Online / On campus / Blended,Not ranked,Private
South Florida Bible College and Theological Seminary,"Deerfield Beach, United States",Online / On campus,Not ranked,Private
Grace School of Theology,"The Woodlands, United States",On campus,Not ranked,Private
Morgan State University,"Baltimore, United States",Online / On campus,1613,Public
Hiram College,"Aurora, United States",Online / On campus,Not ranked,Unknown
California Miramar University,"San Diego, United States",Online / Blended,Not ranked,Private
California State University Stanislaus,"Turlock, United States",On campus / Blended,Not ranked,Public
Rutgers University,Multiple locations,Online / On campus / Blended,165,Public
East Texas Baptist University (ETBU),"Marshall, United States",Online / On campus,Not ranked,Private
Cleveland Institute of Music,"East Cleveland, United States",On campus,Not ranked,Private
Fuller Theological Seminary,"Pasadena, United States",Online / On campus,Not ranked,Unknown
Sullivan University,Multiple locations,Online / On campus / Blended,Not ranked,Private
Pace University,Multiple locations,Online / On campus / Blended,Not ranked,Private
Temple University,Multiple locations,Online / On campus / Blended,388,Public
Michigan Technological University,"Houghton, United States",Online / On campus / Blended,1080,Public
University of Alabama Huntsville,"Huntsville, United States",Online / On campus / Blended,1512,Public
Brandeis University,"Waltham, United States",Online / On campus / Blended,344,Private
The University of Texas Medical Branch at Galveston,"Galveston, United States",Online / On campus / Blended,1110,Public
Lewis University,"Romeoville, United States",Online / On campus / Blended,Not ranked,Private
Cranfield University,Multiple locations,Online / On campus / Blended,1336,Public
University of Pisa,Multiple locations,On campus,271,Public
Minnesota State University Mankato,"Mankato, United States",Online / On campus / Blended,Not ranked,Public
Oklahoma Christian University,"Edmond, United States",On campus,Not ranked,Private
Messiah University,"Mechanicsburg, United States",Online / On campus / Blended,Not ranked,Private
Auburn University at Montgomery,"Montgomery, United States",Online / On campus / Blended,Not ranked,Public
University of Wisconsin La Crosse,"La Crosse, United States",Online / On campus / Blended,Not ranked,Public
Hood College,"Frederick, United States",Online / On campus / Blended,Not ranked,Private
Truman State University,"Kirksville, United States",Online / On campus,Not ranked,Public
Ithaca College,"Ithaca, United States",Online / On campus,Not ranked,Private
Salem State University,"Salem, United States",Online / On campus / Blended,Not ranked,Public
National American University,"Rapid City, United States",Online,Not ranked,Private
Angelo State University,"San Angelo, United States",Online / On campus / Blended,Not ranked,Public
Missio Seminary,"Philadelphia, United States",Online / On campus,Not ranked,Private
Omega Graduate School,"Dayton, United States",Online / On campus,Not ranked,Private
Saint Paul School of Theology,"Leawood, United States",Online / On campus / Blended,Not ranked,Private
D’Youville College,"Buffalo, United States",Online / On campus,Not ranked,Private
International Baptist College and Seminary,"Chandler, United States",On campus,Not ranked,Private
New England College of Optometry,"Boston, United States",On campus,Not ranked,Private
Windsor University,"Washington, D. C., United States",Online,Not ranked,Unknown
Saint Vladimir's Orthodox Theological Seminary,"Yonkers, United States",On campus / Blended,Not ranked,Unknown
GLOBIS University,Multiple locations,Online / On campus,Not ranked,Unknown
Le Cordon Bleu,Multiple locations,On campus,Not ranked,Unknown
Baruch College,"New York City, United States",Online / On campus / Blended,Not ranked,Unknown
OMNES Education,Multiple locations,On campus,Not ranked,Unknown
Colorado Christian University,"Lakewood, United States",Online / On campus / Blended,Not ranked,Unknown
Emporia State University,"Emporia, United States",Online / On campus,Not ranked,Public
Lamar University,"Beaumont, United States",Online / On campus / Blended,Not ranked,Public
Montana State University Billings,"Billings, United States",Online / On campus / Blended,Not ranked,Public
American Public University,"Charles Town, United States",Online,Not ranked,Public
Medical College of Wisconsin,"Milwaukee, United States",Online / On campus,1229,Private
Montana State University - Northern,"Havre, United States",Online / On campus / Blended,Not ranked,Public
UCFB x GIS,Multiple locations,Online / On campus / Blended,Not ranked,Public
School of Visual Arts,"New York City, United States",On campus / Blended,Not ranked,Private
Texas Wesleyan University,"Fort Worth, United States",Online / On campus / Blended,Not ranked,Unknown
Southern University and A&M College,"Baton Rouge, United States",Online / On campus,Not ranked,Public
Art Center College of Design,"La Cañada Flintridge, United States",Online / On campus,Not ranked,Private
University of Minnesota,Multiple locations,On campus,748,Public
The University of Texas M. D. Anderson Cancer Center,"Houston, United States",On campus,1483,Public
Princeton University,"Princeton, United States",On campus,8,Public
California State University Fullerton,"Placentia, United States",Online / On campus / Blended,1454,Public
Washington University in St. Louis,"Saint Louis, United States",On campus,47,Private
George Washington University,"Washington, D. C., United States",Online / On campus / Blended,238,Public
University at Buffalo,"Buffalo, United States",Online / On campus / Blended,308,Public
Valparaiso University,"Valparaiso, United States",Online / On campus,Not ranked,Private
University of Maryland Center for Environmental Science,"Cambridge, United States",On campus,Not ranked,Public
University of Mississippi,"Oxford, United States",Online / On campus,949,Public
Grand Valley State University,Multiple locations,Online / On campus / Blended,1749,Public
Indiana University - Purdue University Indianapolis,Multiple locations,Online / On campus / Blended,391,Public
University of Kansas,Multiple locations,Online / On campus / Blended,296,Public
East Carolina University,"Greenville, United States",Online / On campus / Blended,1863,Public
Towson University,"Towson, United States",Online / On campus / Blended,2142,Public
State University of New York Health Science Center at Brooklyn,"Brooklyn, United States",Online / On campus,1813,Public
Northwest University,"Kirkland, United States",Online / On campus / Blended,Not ranked,Private
Garrett-Evangelical Theological Seminary,"Evanston, United States",Online / On campus / Blended,Not ranked,Unknown
Salve Regina University,"Newport, United States",Online / On campus,Not ranked,Private
University of the Potomac,Multiple locations,Online / On campus,Not ranked,Private
Rhode Island College,"Providence, United States",On campus,Not ranked,Public
Rockhurst University,"Kansas City, United States",Online / On campus / Blended,Not ranked,Private
University of Arkansas at Pine Bluff,"Pine Bluff, United States",On campus,Not ranked,Public
Concordia University Irvine,"Irvine, United States",Online / On campus / Blended,Not ranked,Private
Bemidji State University,"Bemidji, United States",Online / On campus / Blended,Not ranked,Public
Washington Adventist University,"Takoma Park, United States",On campus,Not ranked,Private
Southern California Institute of Architecture,"Los Angeles, United States",On campus,Not ranked,Private
Simpson University,"Redding, United States",Online / On campus / Blended,Not ranked,Private
Lipscomb University,Multiple locations,Online / On campus / Blended,Not ranked,Private
Pfeiffer University,"Albemarle, United States",Online / On campus,Not ranked,Private
Divine Mercy University,"Sterling, United States",Online,Not ranked,Private
City University of Seattle,"Seattle, United States",Online / On campus / Blended,Not ranked,Private
LeTourneau University,"Longview, United States",Online / On campus,Not ranked,Private
Montreat College,"Black Mountain, United States",Online / On campus / Blended,Not ranked,Private
San Francisco Conservatory of Music,"San Francisco, United States",On campus,Not ranked,Private
Eastern University,"Radnor, United States",Online / On campus / Blended,Not ranked,Private
Singapore Management University,Multiple locations,Online / On campus,1048,Public
University of Wisconsin Stout,"Menominee, United States",Online / On campus / Blended,Not ranked,Unknown
Purdue University,Multiple locations,Online / On campus / Blended,110,Public
"University of California, Riverside","Riverside, United States",Online / On campus,250,Public
Politecnico di Torino,Multiple locations,On campus / Blended,445,Public
SKEMA Business School,Multiple locations,Online / On campus / Blended,Not ranked,Private
Berklee College of Music,Multiple locations,On campus,Not ranked,Private
Providence College,"North Providence, United States",On campus,Not ranked,Private
Siena College,"Watervliet, United States",On campus,Not ranked,Private
Goucher College,"Towson, United States",Online / On campus / Blended,Not ranked,Private
Minnesota State University Moorhead,"Moorhead, United States",Online / On campus / Blended,Not ranked,Public
Texas Woman's University,"Denton, United States",Online / On campus / Blended,Not ranked,Public
University of Dallas,"Irving, United States",Online / On campus / Blended,Not ranked,Private
Colorado College,"Colorado Springs, United States",On campus,Not ranked,Private
Norfolk State University,"Norfolk, United States",Online / On campus / Blended,Not ranked,Public
Catholic University of America,"Washington, D. C., United States",Online / On campus / Blended,1660,Public
Mars Hill University,"Mars Hill, United States",Online / On campus,Not ranked,Private
Northwest Missouri State University,"Maryville, United States",Online / On campus,Not ranked,Public
Northwest Nazarene University,"Nampa, United States",Online / On campus / Blended,Not ranked,Private
Southwestern Oklahoma State University,"Weatherford, United States",Online / On campus,Not ranked,Public
George Fox University,"Newberg, United States",Online / On campus / Blended,Not ranked,Private
New York Academy of Art,"New York City, United States",On campus,Not ranked,Private
Pentecostal Theological Seminary,"Cleveland, United States",Online,Not ranked,Private
Eastern Mennonite University,"Harrisonburg, United States",Online / On campus / Blended,Not ranked,Private
Menlo College,"Atherton, United States",On campus,Not ranked,Private
University of Wisconsin Green Bay,"Green Bay, United States",Online / On campus / Blended,Not ranked,Public
Alfred University,"New York City, United States",On campus / Blended,Not ranked,Private
Claremont School of Theology,"Claremont, United States",Online / On campus,Not ranked,Unknown
University of Saint Mary of the Lake,"Mundelein, United States",Online / On campus,Not ranked,Private
Touro University,Multiple locations,"Jacksonville Beach, United States",Not ranked,Private
University of North Florida,"Jacksonville Beach, United States",Online / On campus / Blended,Not ranked,Public
University of Houston Downtown,"Houston, United States",Online / On campus,Not ranked,Public
University of Houston Clear Lake,"Texas City, United States",Online / On campus / Blended,Not ranked,Public
Presidio Graduate School,"Alameda, United States",Online / On campus,Not ranked,Private
Pennsylvania College of Technology,"Williamsport, United States",Online / On campus,Not ranked,Public
The Centenary College of Louisiana,"Shreveport, United States",On campus,Not ranked,Private
Metropolitan State University of Denver,"Denver, United States",Online / On campus / Blended,Not ranked,Public
Tuskegee University,"Tuskegee, United States",Online / On campus,Not ranked,Private
Southeastern University Florida,"Lakeland, United States",Online / On campus,Not ranked,Private
Covenant Theological Seminary,"Creve Coeur, United States",Online / On campus / Blended,Not ranked,Private
Doane University,Multiple locations,Online / On campus,Not ranked,Private
University of Rio Grande,"Delaware, United States",Online / On campus,Not ranked,Private
School of the Art Institute of Chicago,"Chicago, United States",On campus,Not ranked,Private
Shenandoah University,"Winchester, United States",Online / On campus / Blended,Not ranked,Private
Minneapolis College of Art and Design,"Minneapolis, United States",Online / On campus,Not ranked,Private
Franciscan University of Steubenville,"Steubenville, United States",Online / On campus / Blended,Not ranked,Private
Loyola University Maryland,"Towson, United States",Online / On campus / Blended,Not ranked,Public
University of Massachusetts Dartmouth,Multiple locations,Online / On campus,888,Public
Indiana University of Pennsylvania,"Indiana, United States",Online / On campus / Blended,1147,Public
University of Wisconsin - Stevens Point,"Madison, United States",Online / On campus / Blended,Not ranked,Public
Andrews University,"Berrien Springs, United States",Online / On campus,Not ranked,Private
Lawrence Technological University,"Southfield, United States",Online / On campus / Blended,Not ranked,Private
Cambridge College,"Cambridge, United States",Online / On campus,Not ranked,Private
State University of New York at New Paltz,"New Paltz, United States",Online / On campus / Blended,Not ranked,Public
Eastern Virginia Medical School,"Norfolk, United States",Online / On campus / Blended,1820,Public
East Stroudsburg University,"East Stroudsburg, United States",Online / On campus / Blended,Not ranked,Public
Purchase College SUNY,"Rye Brook, United States",Online / On campus / Blended,Not ranked,Public
Northeast Ohio Medical University,"Ravenna, United States",Online / On campus / Blended,Not ranked,Public
Stephen F. Austin State University,"Nacogdoches, United States",Online / On campus,Not ranked,Public
Bethel University,"Saint Paul, United States",Online / On campus / Blended,Not ranked,Private
LIGS University,"Honolulu, United States",Online,Not ranked,Private
Fairmont State University,"Fairmont, United States",Online / On campus,Not ranked,Public
Sam Houston State University,"Huntsville, United States",Online / On campus,2067,Public
Texas State University,"San Marcos, United States",Online / On campus / Blended,1792,Public
The University of Texas at San Antonio,"Helotes, United States",Online / On campus,567,Public
Youngstown State University,"Youngstown, United States",Online / On campus,Not ranked,Public
Western New England University,"Springfield, United States",Online / On campus / Blended,Not ranked,Private
Eastern Washington University,"Cheney, United States",Online / On campus / Blended,Not ranked,Public
Western Carolina University,Multiple locations,Online / On campus / Blended,Not ranked,Public
California State University San Bernardino,"San Bernardino, United States",Online / On campus / Blended,Not ranked,Public
The College of New Jersey,"Ewing, United States",Online / On campus / Blended,Not ranked,Public
California State University Northridge,"San Fernando, United States",On campus / Blended,1802,Public
Christopher Newport University,"Newport News, United States",On campus,Not ranked,Public
University of Nebraska Kearney,"Kearney, United States",Online / On campus / Blended,Not ranked,Public
University of Puget Sound,"Tacoma, United States",On campus,Not ranked,Private
Weill Cornell Medical College,"Manhattan, United States",On campus,Not ranked,Private
Kentucky State University,"Frankfort, United States",Online / On campus,1643,Public
Southern California University of Health Sciences (SCU),"Whittier, United States",Online / On campus / Blended,Not ranked,Private
Woodbury University,"Burbank, United States",On campus / Blended,Not ranked,Private
"California State University, Dominguez Hills","Carson, United States",Online / On campus / Blended,Not ranked,Unknown
University of Maryland,"College Park, United States",Online / On campus,78,Public
New York University,Multiple locations,Online / On campus / Blended,25,Private
The New School,Multiple locations,Online / On campus / Blended,1057,Private
Emory University,"Atlanta, United States",Online / On campus / Blended,88,Private
Walden University,"Minneapolis, United States",Online,Not ranked,Private
Northern Illinois University,"DeKalb, United States",Online / On campus / Blended,1067,Public
Georgia State University,Multiple locations,Online / On campus / Blended,488,Public
Duke University,"Durham, United States",Online / On campus / Blended,30,Private
Case Western Reserve University,"Cleveland, United States",Online / On campus / Blended,128,Private
University of Illinois at Urbana Champaign,"Urbana, United States",Online / On campus,55,Public
Sacred Heart University,Multiple locations,Online / On campus / Blended,Not ranked,Private
University of New Hampshire,Multiple locations,Online / On campus,912,Public
Saint Louis University,Multiple locations,Online / On campus / Blended,466,Private
Worcester Polytechnic Institute,"Worcester, United States",Online / On campus / Blended,998,Private
"California State University, Bakersfield","Bakersfield, United States",On campus,Not ranked,Public
University of New England Maine,"Biddeford, United States",Online / On campus,Not ranked,Private
University of Utah,"Salt Lake City, United States",Online / On campus / Blended,206,Public
University of Saint Mary,"Lansing, United States",Online / On campus / Blended,Not ranked,Unknown
"University of California, Santa Barbara","Santa Barbara, United States",On campus,70,Public
Saint Xavier University,"Chicago, United States",Online / On campus / Blended,Not ranked,Private
Alcorn State University,"Vicksburg, United States",Online / On campus / Blended,Not ranked,Public
Edgewood College,"Madison, United States",Online / On campus / Blended,Not ranked,Private
Strayer University,"Arlington, United States",Online,Not ranked,Private
Cairn University,"Fairless Hills, United States",Online / On campus / Blended,Not ranked,Private
Bethany College - West Virginia,"Bethany, United States",On campus,Not ranked,Private
Simplilearn,"San Francisco, United States",Online,Not ranked,Unknown
"South University, Tampa","Tampa, United States",Online / On campus / Blended,Not ranked,Private
Illinois Dominican University,"River Forest, United States",Online / On campus / Blended,Not ranked,Private
Quantic School of Business and Technology,"Washington, D. C., United States",Online,Not ranked,Unknown
Monroe College,"Bronxville, United States",Online / On campus / Blended,Not ranked,Private
ADEN University,"Coral Gables, United States",Online,Not ranked,Unknown
Atlantic International University,"Honolulu, United States","San Antonio, United States",Not ranked,Unknown
Texas A&M San Antonio,"San Antonio, United States","Philadelphia, United States",Not ranked,Unknown
Rosemont College,"Philadelphia, United States",Online / On campus,Not ranked,Private
London School of Economics and Political Science,Multiple locations,Online / On campus / Blended,94,Public
University of Bayreuth,Multiple locations,On campus,522,Public
