Acceptance Rate,Application Deadline,Application Fee,SAT Range,ACT Range,How would you rate on-campus housing?,How would you rate off-campus housing?,How would you rate campus food?,How would you rate campus facilities?,How would you rate class size?,How would you rate school activities?,How would you rate local services?,How would you rate academics?,University Name,Student Life Reviews,General Info,Table,Quick Facts
100%,None,0,None,None,13 Students rated on-campus housing 2.2 stars. 15 % gave the school a 5.0.,8 Students rated off-campus housing 3.8 stars. 0 % gave the school a 5.0.,16 Students rated campus food 3.4 stars. 44 % gave the school a 5.0.,17 Students rated campus facilities 3.6 stars. 29 % gave the school a 5.0.,17 Students rated class size 3.8 stars. 41 % gave the school a 5.0.,17 Students rated school activities 3 stars. 29 % gave the school a 5.0.,17 Students rated local services 3.4 stars. 29 % gave the school a 5.0.,17 Students rated academics 3.8 stars. 35 % gave the school a 5.0.,Bevill State Community College,,,,
48%,None,50,990-1180,23-28,29 Students rated on-campus housing 3.5 stars. 21 % gave the school a 5.0.,22 Students rated off-campus housing 2.7 stars. 0 % gave the school a 5.0.,30 Students rated campus food 3 stars. 7 % gave the school a 5.0.,30 Students rated campus facilities 4.2 stars. 50 % gave the school a 5.0.,30 Students rated class size 4.6 stars. 63 % gave the school a 5.0.,30 Students rated school activities 3.9 stars. 47 % gave the school a 5.0.,30 Students rated local services 3.6 stars. 27 % gave the school a 5.0.,30 Students rated academics 4.1 stars. 43 % gave the school a 5.0.,Birmingham Southern College,,,,
100%,None,0,None,None,4 Students rated on-campus housing 1.8 stars. 0 % gave the school a 5.0.,3 Students rated off-campus housing 2.5 stars. 0 % gave the school a 5.0.,4 Students rated campus food 3 stars. 25 % gave the school a 5.0.,5 Students rated campus facilities 3.6 stars. 20 % gave the school a 5.0.,5 Students rated class size 4 stars. 40 % gave the school a 5.0.,4 Students rated school activities 3 stars. 25 % gave the school a 5.0.,5 Students rated local services 3 stars. 20 % gave the school a 5.0.,5 Students rated academics 4.4 stars. 40 % gave the school a 5.0.,Bishop State Community College,,,,
91%,None,100,None,None,,,,,,,,,Blue Cliff Career College,None,,,
%,None,0,None,None,,,,,,,,,Brown Mackie College-Birmingham,None,,,
%,None,0,None,None,,,,,,,,,Cardiac and Vascular Institute of Ultrasound,None,,,
100%,None,0,None,None,5 Students rated on-campus housing 4.3 stars. 60 % gave the school a 5.0.,3 Students rated off-campus housing 4.4 stars. 0 % gave the school a 5.0.,7 Students rated campus food 4.5 stars. 71 % gave the school a 5.0.,9 Students rated campus facilities 4.4 stars. 56 % gave the school a 5.0.,9 Students rated class size 4.4 stars. 67 % gave the school a 5.0.,8 Students rated school activities 3.6 stars. 50 % gave the school a 5.0.,9 Students rated local services 3.9 stars. 56 % gave the school a 5.0.,9 Students rated academics 4.1 stars. 44 % gave the school a 5.0.,Central Alabama Community College,,,,
100%,None,0,None,None,4 Students rated on-campus housing 1.8 stars. 0 % gave the school a 5.0.,5 Students rated off-campus housing 2.8 stars. 0 % gave the school a 5.0.,4 Students rated campus food 2.5 stars. 0 % gave the school a 5.0.,5 Students rated campus facilities 4 stars. 40 % gave the school a 5.0.,5 Students rated class size 3.8 stars. 20 % gave the school a 5.0.,5 Students rated school activities 2.8 stars. 0 % gave the school a 5.0.,5 Students rated local services 2.4 stars. 0 % gave the school a 5.0.,5 Students rated academics 4.4 stars. 60 % gave the school a 5.0.,Chattahoochee Valley Community College,,,,
%,None,0,None,None,,,,,,,,,Columbia College – Redstone Arsenal,None,,,
100%,None,0,None,None,,,,,,,,,Columbia Southern University,None,,,
%,None,0,None,None,2 Students rated on-campus housing 4 stars. 0 % gave the school a 5.0.,2 Students rated off-campus housing 3 stars. 0 % gave the school a 5.0.,2 Students rated campus food 5 stars. 50 % gave the school a 5.0.,2 Students rated campus facilities 5 stars. 50 % gave the school a 5.0.,2 Students rated class size 5 stars. 50 % gave the school a 5.0.,2 Students rated school activities 4 stars. 0 % gave the school a 5.0.,2 Students rated local services 4 stars. 0 % gave the school a 5.0.,2 Students rated academics 4 stars. 0 % gave the school a 5.0.,Community College of the Air Force,,,,
23%,None,25,None,None,3 Students rated on-campus housing 2.7 stars. 0 % gave the school a 5.0.,3 Students rated off-campus housing 2.3 stars. 0 % gave the school a 5.0.,3 Students rated campus food 2 stars. 0 % gave the school a 5.0.,4 Students rated campus facilities 3.3 stars. 0 % gave the school a 5.0.,4 Students rated class size 4 stars. 25 % gave the school a 5.0.,4 Students rated school activities 2.8 stars. 0 % gave the school a 5.0.,4 Students rated local services 3.8 stars. 50 % gave the school a 5.0.,4 Students rated academics 3 stars. 0 % gave the school a 5.0.,Concordia College Alabama,,,,
100%,None,0,None,None,4 Students rated on-campus housing 2 stars. 0 % gave the school a 5.0.,1 Students rated off-campus housing 4.7 stars. 0 % gave the school a 5.0.,5 Students rated campus food 2.3 stars. 0 % gave the school a 5.0.,6 Students rated campus facilities 4 stars. 0 % gave the school a 5.0.,6 Students rated class size 5 stars. 100 % gave the school a 5.0.,6 Students rated school activities 3.3 stars. 0 % gave the school a 5.0.,6 Students rated local services 4.3 stars. 83 % gave the school a 5.0.,6 Students rated academics 4.5 stars. 67 % gave the school a 5.0.,Enterprise State Community College,,,,
45%,None,25,880-1120,18-23,27 Students rated on-campus housing 3.9 stars. 22 % gave the school a 5.0.,17 Students rated off-campus housing 3.6 stars. 0 % gave the school a 5.0.,29 Students rated campus food 3.1 stars. 21 % gave the school a 5.0.,30 Students rated campus facilities 3.9 stars. 37 % gave the school a 5.0.,30 Students rated class size 4.3 stars. 60 % gave the school a 5.0.,30 Students rated school activities 3.5 stars. 20 % gave the school a 5.0.,30 Students rated local services 4.2 stars. 40 % gave the school a 5.0.,30 Students rated academics 3.8 stars. 37 % gave the school a 5.0.,Faulkner University,,,,
100%,None,100,None,None,,,,,,,,,Fortis College,None,,,
%,None,25,None,None,,,,,,,,,Fortis College School of Cosmetology,None,,,
100%,None,25,None,None,,,,,,,,,Fortis College-Dothan,None,,,
100%,None,0,None,None,,,,,,,,,Fortis College-Foley,None,,,
100%,None,0,None,None,,,,,,,,,"Fortis College-Montgomery, AL 36109",None,,,
%,None,0,None,None,,,,,,,,,"Fortis College-Montgomery, AL 36117",None,,,
100%,None,100,None,None,,,,,,,,,Fortis Institute-Birmingham,None,,,
100%,None,0,None,None,14 Students rated on-campus housing 3.2 stars. 0 % gave the school a 5.0.,12 Students rated off-campus housing 3.9 stars. 0 % gave the school a 5.0.,16 Students rated campus food 3.7 stars. 25 % gave the school a 5.0.,19 Students rated campus facilities 4.1 stars. 37 % gave the school a 5.0.,19 Students rated class size 4.3 stars. 58 % gave the school a 5.0.,19 Students rated school activities 3.4 stars. 21 % gave the school a 5.0.,19 Students rated local services 4.2 stars. 58 % gave the school a 5.0.,19 Students rated academics 4.8 stars. 74 % gave the school a 5.0.,Gadsden State Community College,,,,
100%,None,0,None,None,8 Students rated on-campus housing 2.1 stars. 25 % gave the school a 5.0.,2 Students rated off-campus housing 4.5 stars. 0 % gave the school a 5.0.,11 Students rated campus food 3.3 stars. 36 % gave the school a 5.0.,13 Students rated campus facilities 4.7 stars. 69 % gave the school a 5.0.,13 Students rated class size 4.7 stars. 77 % gave the school a 5.0.,13 Students rated school activities 3.6 stars. 31 % gave the school a 5.0.,12 Students rated local services 3.7 stars. 33 % gave the school a 5.0.,12 Students rated academics 4.9 stars. 83 % gave the school a 5.0.,George C Wallace Community College-Dothan,,,,
100%,None,0,None,None,14 Students rated on-campus housing 3.6 stars. 21 % gave the school a 5.0.,9 Students rated off-campus housing 3.8 stars. 0 % gave the school a 5.0.,15 Students rated campus food 3.9 stars. 40 % gave the school a 5.0.,16 Students rated campus facilities 4.3 stars. 31 % gave the school a 5.0.,15 Students rated class size 4.5 stars. 60 % gave the school a 5.0.,15 Students rated school activities 3.3 stars. 7 % gave the school a 5.0.,15 Students rated local services 3.3 stars. 13 % gave the school a 5.0.,16 Students rated academics 4.3 stars. 31 % gave the school a 5.0.,George C Wallace State Community College-Hanceville,,,,
100%,None,0,None,None,2 Students rated on-campus housing 2 stars. 0 % gave the school a 5.0.,2 Students rated off-campus housing 3 stars. 0 % gave the school a 5.0.,4 Students rated campus food 5 stars. 100 % gave the school a 5.0.,4 Students rated campus facilities 5 stars. 100 % gave the school a 5.0.,4 Students rated class size 5 stars. 100 % gave the school a 5.0.,4 Students rated school activities 3.3 stars. 50 % gave the school a 5.0.,4 Students rated local services 3 stars. 25 % gave the school a 5.0.,4 Students rated academics 4 stars. 75 % gave the school a 5.0.,George C Wallace State Community College-Selma,,,,
100%,None,0,None,None,2 Students rated on-campus housing 1 stars. 0 % gave the school a 5.0.,2 Students rated off-campus housing 1 stars. 0 % gave the school a 5.0.,2 Students rated campus food 5 stars. 50 % gave the school a 5.0.,3 Students rated campus facilities 3.5 stars. 33 % gave the school a 5.0.,3 Students rated class size 4.5 stars. 67 % gave the school a 5.0.,2 Students rated school activities 4 stars. 0 % gave the school a 5.0.,3 Students rated local services 5 stars. 67 % gave the school a 5.0.,3 Students rated academics 4.5 stars. 67 % gave the school a 5.0.,H Councill Trenholm State Community College,,,,
100%,None,100,None,None,,,,,,,,,Hair Academy,None,,,
33%,None,35,None,None,0 Students rated on-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated off-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated campus food 0 stars. 0 % gave the school a 5.0.,0 Students rated campus facilities 0 stars. 0 % gave the school a 5.0.,0 Students rated class size 0 stars. 0 % gave the school a 5.0.,0 Students rated school activities 0 stars. 0 % gave the school a 5.0.,0 Students rated local services 0 stars. 0 % gave the school a 5.0.,0 Students rated academics 0 stars. 0 % gave the school a 5.0.,Heritage Christian University,,,,
97%,None,0,None,None,1 Students rated on-campus housing 1 stars. 0 % gave the school a 5.0.,1 Students rated off-campus housing 3 stars. 0 % gave the school a 5.0.,2 Students rated campus food 2 stars. 0 % gave the school a 5.0.,2 Students rated campus facilities 4 stars. 0 % gave the school a 5.0.,2 Students rated class size 4 stars. 50 % gave the school a 5.0.,2 Students rated school activities 2.5 stars. 0 % gave the school a 5.0.,2 Students rated local services 4 stars. 0 % gave the school a 5.0.,2 Students rated academics 4.5 stars. 50 % gave the school a 5.0.,Herzing University-Birmingham,,,,
56%,None,0,845-1050,19-24,36 Students rated on-campus housing 3.7 stars. 11 % gave the school a 5.0.,24 Students rated off-campus housing 3.5 stars. 0 % gave the school a 5.0.,37 Students rated campus food 3 stars. 16 % gave the school a 5.0.,37 Students rated campus facilities 3.9 stars. 30 % gave the school a 5.0.,37 Students rated class size 4.7 stars. 73 % gave the school a 5.0.,36 Students rated school activities 4.1 stars. 47 % gave the school a 5.0.,36 Students rated local services 4.3 stars. 50 % gave the school a 5.0.,37 Students rated academics 4.3 stars. 57 % gave the school a 5.0.,Huntingdon College,,,,
100%,None,35,None,None,,,,,,,,,Huntsville Bible College,None,,,
100%,None,0,None,None,1 Students rated on-campus housing 1 stars. 0 % gave the school a 5.0.,1 Students rated off-campus housing 1 stars. 0 % gave the school a 5.0.,2 Students rated campus food 2.5 stars. 0 % gave the school a 5.0.,2 Students rated campus facilities 3.5 stars. 50 % gave the school a 5.0.,2 Students rated class size 3.5 stars. 50 % gave the school a 5.0.,2 Students rated school activities 3 stars. 50 % gave the school a 5.0.,2 Students rated local services 3.5 stars. 50 % gave the school a 5.0.,2 Students rated academics 3.5 stars. 50 % gave the school a 5.0.,J F Drake State Community and Technical College,,,,
100%,None,0,None,None,0 Students rated on-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated off-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated campus food 0 stars. 0 % gave the school a 5.0.,0 Students rated campus facilities 0 stars. 0 % gave the school a 5.0.,0 Students rated class size 0 stars. 0 % gave the school a 5.0.,0 Students rated school activities 0 stars. 0 % gave the school a 5.0.,0 Students rated local services 0 stars. 0 % gave the school a 5.0.,0 Students rated academics 0 stars. 0 % gave the school a 5.0.,J F Ingram State Technical College,,,,
53%,None,35,870-1120,20-26,106 Students rated on-campus housing 3.4 stars. 25 % gave the school a 5.0.,72 Students rated off-campus housing 3.8 stars. 0 % gave the school a 5.0.,120 Students rated campus food 4 stars. 48 % gave the school a 5.0.,124 Students rated campus facilities 4.3 stars. 56 % gave the school a 5.0.,123 Students rated class size 4.3 stars. 54 % gave the school a 5.0.,123 Students rated school activities 4.2 stars. 51 % gave the school a 5.0.,124 Students rated local services 4.1 stars. 55 % gave the school a 5.0.,125 Students rated academics 4.3 stars. 56 % gave the school a 5.0.,Jacksonville State University,,,,
100%,None,0,None,None,14 Students rated on-campus housing 4.1 stars. 43 % gave the school a 5.0.,7 Students rated off-campus housing 3.8 stars. 0 % gave the school a 5.0.,14 Students rated campus food 3.7 stars. 36 % gave the school a 5.0.,16 Students rated campus facilities 3.8 stars. 44 % gave the school a 5.0.,17 Students rated class size 4.4 stars. 65 % gave the school a 5.0.,15 Students rated school activities 3.8 stars. 53 % gave the school a 5.0.,15 Students rated local services 3.2 stars. 27 % gave the school a 5.0.,17 Students rated academics 4.3 stars. 71 % gave the school a 5.0.,James H Faulkner State Community College,,,,
100%,None,0,None,None,4 Students rated on-campus housing 3 stars. 0 % gave the school a 5.0.,3 Students rated off-campus housing 3 stars. 0 % gave the school a 5.0.,4 Students rated campus food 3.5 stars. 0 % gave the school a 5.0.,4 Students rated campus facilities 4.3 stars. 25 % gave the school a 5.0.,4 Students rated class size 4 stars. 50 % gave the school a 5.0.,4 Students rated school activities 3.5 stars. 0 % gave the school a 5.0.,4 Students rated local services 4 stars. 25 % gave the school a 5.0.,4 Students rated academics 4 stars. 25 % gave the school a 5.0.,Jefferson Davis Community College,,,,
100%,None,0,None,None,15 Students rated on-campus housing 1.3 stars. 27 % gave the school a 5.0.,9 Students rated off-campus housing 3.1 stars. 0 % gave the school a 5.0.,19 Students rated campus food 2.4 stars. 21 % gave the school a 5.0.,22 Students rated campus facilities 3.4 stars. 27 % gave the school a 5.0.,23 Students rated class size 4.2 stars. 52 % gave the school a 5.0.,21 Students rated school activities 2.8 stars. 29 % gave the school a 5.0.,23 Students rated local services 2.8 stars. 39 % gave the school a 5.0.,23 Students rated academics 3.9 stars. 39 % gave the school a 5.0.,Jefferson State Community College,,,,
100%,None,0,None,None,22 Students rated on-campus housing 1.6 stars. 9 % gave the school a 5.0.,17 Students rated off-campus housing 3.2 stars. 0 % gave the school a 5.0.,29 Students rated campus food 3.2 stars. 21 % gave the school a 5.0.,29 Students rated campus facilities 4.2 stars. 41 % gave the school a 5.0.,29 Students rated class size 4.3 stars. 45 % gave the school a 5.0.,29 Students rated school activities 3.1 stars. 10 % gave the school a 5.0.,30 Students rated local services 3.2 stars. 27 % gave the school a 5.0.,29 Students rated academics 4.5 stars. 55 % gave the school a 5.0.,John C Calhoun State Community College,,,,
57%,None,43,1110-1112,19-24,5 Students rated on-campus housing 3.2 stars. 0 % gave the school a 5.0.,4 Students rated off-campus housing 1 stars. 0 % gave the school a 5.0.,5 Students rated campus food 2 stars. 0 % gave the school a 5.0.,5 Students rated campus facilities 2.6 stars. 0 % gave the school a 5.0.,5 Students rated class size 4.6 stars. 80 % gave the school a 5.0.,5 Students rated school activities 3.2 stars. 0 % gave the school a 5.0.,5 Students rated local services 1.8 stars. 0 % gave the school a 5.0.,5 Students rated academics 3 stars. 20 % gave the school a 5.0.,Judson College,,,,
100%,None,0,None,None,12 Students rated on-campus housing 4 stars. 33 % gave the school a 5.0.,10 Students rated off-campus housing 3.5 stars. 0 % gave the school a 5.0.,14 Students rated campus food 3.9 stars. 43 % gave the school a 5.0.,14 Students rated campus facilities 4.1 stars. 50 % gave the school a 5.0.,14 Students rated class size 4.7 stars. 71 % gave the school a 5.0.,13 Students rated school activities 3.5 stars. 23 % gave the school a 5.0.,14 Students rated local services 3.5 stars. 36 % gave the school a 5.0.,14 Students rated academics 4.5 stars. 71 % gave the school a 5.0.,Lawson State Community College-Birmingham Campus,,,,
100%,None,0,None,None,6 Students rated on-campus housing 3.8 stars. 17 % gave the school a 5.0.,4 Students rated off-campus housing 4 stars. 0 % gave the school a 5.0.,5 Students rated campus food 3.5 stars. 40 % gave the school a 5.0.,8 Students rated campus facilities 4.3 stars. 38 % gave the school a 5.0.,8 Students rated class size 4.4 stars. 50 % gave the school a 5.0.,8 Students rated school activities 3.9 stars. 13 % gave the school a 5.0.,8 Students rated local services 3.6 stars. 38 % gave the school a 5.0.,8 Students rated academics 4.9 stars. 75 % gave the school a 5.0.,Lurleen B Wallace Community College,,,,
64%,None,30,980-1210,19-26,1 Students rated on-campus housing 5 stars. 100 % gave the school a 5.0.,1 Students rated off-campus housing 1 stars. 0 % gave the school a 5.0.,1 Students rated campus food 3 stars. 0 % gave the school a 5.0.,1 Students rated campus facilities 5 stars. 100 % gave the school a 5.0.,1 Students rated class size 5 stars. 100 % gave the school a 5.0.,1 Students rated school activities 5 stars. 100 % gave the school a 5.0.,1 Students rated local services 1 stars. 0 % gave the school a 5.0.,1 Students rated academics 5 stars. 100 % gave the school a 5.0.,Marion Military Institute,,,,
100%,None,50,None,None,,,,,,,,,Midfield Institute of Cosmetology,None,,,
100%,None,0,None,None,21 Students rated on-campus housing 3.4 stars. 19 % gave the school a 5.0.,16 Students rated off-campus housing 2.7 stars. 0 % gave the school a 5.0.,23 Students rated campus food 2.7 stars. 22 % gave the school a 5.0.,23 Students rated campus facilities 3.4 stars. 17 % gave the school a 5.0.,23 Students rated class size 4.3 stars. 65 % gave the school a 5.0.,23 Students rated school activities 3.4 stars. 39 % gave the school a 5.0.,24 Students rated local services 3.7 stars. 50 % gave the school a 5.0.,23 Students rated academics 3.9 stars. 52 % gave the school a 5.0.,Miles College,,,,
100%,None,0,None,None,0 Students rated on-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated off-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated campus food 0 stars. 0 % gave the school a 5.0.,0 Students rated campus facilities 0 stars. 0 % gave the school a 5.0.,0 Students rated class size 0 stars. 0 % gave the school a 5.0.,0 Students rated school activities 0 stars. 0 % gave the school a 5.0.,0 Students rated local services 0 stars. 0 % gave the school a 5.0.,0 Students rated academics 0 stars. 0 % gave the school a 5.0.,New Beginning College of Cosmetology,,,,
100%,None,0,None,None,1 Students rated on-campus housing 5 stars. 100 % gave the school a 5.0.,1 Students rated off-campus housing 3.5 stars. 0 % gave the school a 5.0.,4 Students rated campus food 4.3 stars. 25 % gave the school a 5.0.,4 Students rated campus facilities 4.3 stars. 25 % gave the school a 5.0.,4 Students rated class size 3.8 stars. 50 % gave the school a 5.0.,4 Students rated school activities 3.5 stars. 25 % gave the school a 5.0.,4 Students rated local services 4.5 stars. 75 % gave the school a 5.0.,4 Students rated academics 4.8 stars. 75 % gave the school a 5.0.,Northeast Alabama Community College,,,,
100%,None,0,None,None,2 Students rated on-campus housing 1 stars. 0 % gave the school a 5.0.,3 Students rated off-campus housing 2 stars. 0 % gave the school a 5.0.,3 Students rated campus food 1.3 stars. 0 % gave the school a 5.0.,4 Students rated campus facilities 4 stars. 25 % gave the school a 5.0.,4 Students rated class size 3.8 stars. 50 % gave the school a 5.0.,4 Students rated school activities 2.8 stars. 25 % gave the school a 5.0.,4 Students rated local services 3.8 stars. 25 % gave the school a 5.0.,4 Students rated academics 4.3 stars. 50 % gave the school a 5.0.,Northwest-Shoals Community College,,,,
48%,None,25,750-1010,16-21,149 Students rated on-campus housing 3.4 stars. 10 % gave the school a 5.0.,95 Students rated off-campus housing 3.8 stars. 0 % gave the school a 5.0.,154 Students rated campus food 2.7 stars. 6 % gave the school a 5.0.,156 Students rated campus facilities 3.4 stars. 17 % gave the school a 5.0.,156 Students rated class size 4.3 stars. 49 % gave the school a 5.0.,156 Students rated school activities 3.7 stars. 31 % gave the school a 5.0.,156 Students rated local services 4.1 stars. 46 % gave the school a 5.0.,156 Students rated academics 3.9 stars. 35 % gave the school a 5.0.,Oakwood University,,,,
100%,None,100,None,None,,,,,,,,,Paul Mitchell the School-Birmingham,None,,,
100%,None,100,None,None,,,,,,,,,Paul Mitchell the School-Huntsville,None,,,
100%,None,0,None,None,0 Students rated on-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated off-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated campus food 0 stars. 0 % gave the school a 5.0.,0 Students rated campus facilities 0 stars. 0 % gave the school a 5.0.,0 Students rated class size 0 stars. 0 % gave the school a 5.0.,0 Students rated school activities 0 stars. 0 % gave the school a 5.0.,0 Students rated local services 0 stars. 0 % gave the school a 5.0.,0 Students rated academics 0 stars. 0 % gave the school a 5.0.,Reid State Technical College,,,,
%,None,0,None,None,,,,,,,,,Remington College-Mobile Campus,None,,,
100%,None,0,None,None,,,,,,,,,Ross Medical Education Center-Huntsville,None,,,
91%,None,40,1020-1238,23-29,74 Students rated on-campus housing 3.7 stars. 11 % gave the school a 5.0.,55 Students rated off-campus housing 3.6 stars. 0 % gave the school a 5.0.,77 Students rated campus food 3.2 stars. 10 % gave the school a 5.0.,76 Students rated campus facilities 4.1 stars. 36 % gave the school a 5.0.,76 Students rated class size 4.7 stars. 71 % gave the school a 5.0.,76 Students rated school activities 4.1 stars. 33 % gave the school a 5.0.,76 Students rated local services 4.6 stars. 68 % gave the school a 5.0.,76 Students rated academics 4 stars. 38 % gave the school a 5.0.,Samford University,,,,
100%,None,20,None,None,0 Students rated on-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated off-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated campus food 0 stars. 0 % gave the school a 5.0.,0 Students rated campus facilities 0 stars. 0 % gave the school a 5.0.,0 Students rated class size 0 stars. 0 % gave the school a 5.0.,0 Students rated school activities 0 stars. 0 % gave the school a 5.0.,0 Students rated local services 0 stars. 0 % gave the school a 5.0.,0 Students rated academics 0 stars. 0 % gave the school a 5.0.,Selma University,,,,
100%,None,0,None,None,9 Students rated on-campus housing 2 stars. 11 % gave the school a 5.0.,6 Students rated off-campus housing 4.1 stars. 0 % gave the school a 5.0.,13 Students rated campus food 2.9 stars. 15 % gave the school a 5.0.,13 Students rated campus facilities 4 stars. 31 % gave the school a 5.0.,13 Students rated class size 4.4 stars. 77 % gave the school a 5.0.,13 Students rated school activities 3.1 stars. 15 % gave the school a 5.0.,13 Students rated local services 3.6 stars. 23 % gave the school a 5.0.,13 Students rated academics 4.2 stars. 54 % gave the school a 5.0.,Shelton State Community College,,,,
100%,None,0,None,None,12 Students rated on-campus housing 4.1 stars. 33 % gave the school a 5.0.,8 Students rated off-campus housing 3.9 stars. 0 % gave the school a 5.0.,14 Students rated campus food 4.1 stars. 43 % gave the school a 5.0.,14 Students rated campus facilities 4.3 stars. 43 % gave the school a 5.0.,14 Students rated class size 4.2 stars. 43 % gave the school a 5.0.,14 Students rated school activities 3.8 stars. 36 % gave the school a 5.0.,14 Students rated local services 3.5 stars. 21 % gave the school a 5.0.,14 Students rated academics 4.7 stars. 71 % gave the school a 5.0.,Snead State Community College,,,,
